tempo,infectados_media
0,6.29
1,8.34
2,10.91
3,14.09
4,17.94
5,23.05
6,30.24
7,39.26
8,50.77
9,65.06
10,83.06
11,106.27
12,136.04
13,174.13
14,222.52
15,284.11
16,361.94
17,459.83
18,581.71
19,731.17
20,914.48
21,1135.04
22,1395.44
23,1698.73
24,2042.7
25,2425.18
26,2842.1
27,3273.53
28,3717.03
29,4160.4
30,4584.25
31,4977.18
32,5332.73
33,5644.34
34,5912.62
35,6140.54
36,6333.3
37,6491.23
38,6618.46
39,6714.89
40,6797.58
41,6858.0
42,6903.91
43,6936.67
44,6967.88
45,6988.22
46,6997.7
47,7012.59
48,7020.21
49,7033.42
50,7039.49
51,7044.19
52,7044.5
53,7045.71
54,7049.54
55,7047.03
56,7052.11
57,7055.01
58,7061.85
59,7055.66
