tempo,infectados_media
0,4.91
1,5.41
2,7.09
3,10.04
4,15.71
5,25.52
6,40.14
7,58.79
8,88.58
9,129.51
10,177.2
11,233.97
12,298.46
13,368.27
14,441.89
15,517.08
16,596.52
17,672.77
18,750.59
19,820.98
20,884.2
21,941.2
22,995.09
23,1042.78
24,1082.06
25,1119.26
26,1149.33
27,1182.74
28,1211.92
29,1232.77
30,1255.86
31,1278.39
32,1297.53
33,1311.22
34,1322.82
35,1330.73
36,1338.74
37,1342.55
38,1350.51
39,1352.85
40,1358.24
41,1366.34
42,1366.67
43,1368.63
44,1376.02
45,1378.33
46,1381.89
47,1385.07
48,1387.45
49,1385.1
50,1386.63
51,1389.94
52,1391.78
53,1392.32
54,1391.83
55,1389.37
56,1389.71
57,1389.18
58,1386.01
59,1385.12
